batsman,total_matches,total_runs,total_balls,total_fours,total_sixes,total_outs,total_30_plus,avg_runs,avg_strike_rate,boundary_freq,consistency_30_plus,dismissal_rate,position_preference,position_label
B Sai Sudharsan,25,1034,770,95,32,21,17,41.36,134.28571428571428,0.16493506493506493,0.68,0.84,1,Opener
BA Stokes,11,300,225,38,7,10,4,27.272727272727273,133.33333333333331,0.2,0.36363636363636365,0.9090909090909091,3,Anchor
BR Sharath,1,2,5,0,0,1,0,2.0,40.0,0.0,0.0,1.0,4,Middle-order
C Green,28,707,472,62,32,17,12,25.25,149.78813559322032,0.19915254237288135,0.42857142857142855,0.6071428571428571,3,Anchor
C Sakariya,7,20,31,3,0,5,0,2.857142857142857,64.51612903225806,0.0967741935483871,0.0,0.7142857142857143,9,Finisher
CA Lynn,1,49,36,4,3,1,1,49.0,136.11111111111111,0.19444444444444445,1.0,1.0,2,Opener
CH Gayle,17,488,385,36,32,15,7,28.705882352941178,126.75324675324676,0.17662337662337663,0.4117647058823529,0.8823529411764706,3,Anchor
CH Morris,12,101,74,4,8,9,1,8.416666666666666,136.48648648648648,0.16216216216216217,0.08333333333333333,0.75,8,Finisher
CJ Jordan,10,78,76,3,3,8,1,7.8,102.63157894736842,0.07894736842105263,0.1,0.8,8,Finisher
CR Woakes,1,15,11,2,0,0,0,15.0,136.36363636363635,0.18181818181818182,0.0,0.0,8,Finisher
CV Varun,10,25,49,2,0,2,0,2.5,51.02040816326531,0.04081632653061224,0.0,0.2,11,Finisher
D Brevis,10,230,176,17,16,10,4,23.0,130.6818181818182,0.1875,0.4,1.0,3,Anchor
D Ferreira,2,8,11,0,0,2,0,4.0,72.72727272727273,0.0,0.0,1.0,8,Finisher
D Padikkal,64,1559,1323,170,42,61,22,24.359375,117.83824640967498,0.1602418745275888,0.34375,0.953125,1,Opener
D Pretorius,5,44,28,3,3,4,0,8.8,157.14285714285714,0.21428571428571427,0.0,0.8,8,Finisher
D Wiese,3,21,11,0,3,1,0,7.0,190.9090909090909,0.2727272727272727,0.0,0.3333333333333333,7,Finisher
DA Miller,46,1074,796,81,47,26,16,23.347826086956523,134.9246231155779,0.16080402010050251,0.34782608695652173,0.5652173913043478,5,Middle-order
DA Warner,58,1861,1451,205,55,50,29,32.08620689655172,128.2563749138525,0.17918676774638181,0.5,0.8620689655172413,4,Middle-order
DG Nalkande,2,12,12,0,1,2,0,6.0,100.0,0.08333333333333333,0.0,1.0,6,Finisher
DJ Bravo,11,77,54,4,5,5,0,7.0,142.59259259259258,0.16666666666666666,0.0,0.45454545454545453,8,Finisher
DJ Hooda,51,942,739,69,37,41,10,18.470588235294116,127.46955345060893,0.14343707713125844,0.19607843137254902,0.803921568627451,2,Opener
DJ Malan,1,26,26,1,1,1,0,26.0,100.0,0.07692307692307693,0.0,1.0,4,Middle-order
DJ Mitchell,15,351,274,28,10,13,4,23.4,128.1021897810219,0.1386861313868613,0.26666666666666666,0.8666666666666667,3,Anchor
DJ Willey,5,53,64,7,0,2,0,10.6,82.8125,0.109375,0.0,0.4,5,Middle-order
DL Chahar,5,9,15,0,0,1,0,1.8,60.0,0.0,0.0,0.2,9,Finisher
